カテゴリ,入荷日,検査完了日,発注番号,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),人工,検査場所,検査治具,検査結果・備考,品質基準書修正要否と箇所
メカ,2024-10-07,2024-10-09,,EX000796,center beam,（株）栗原精機,220,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,25,,本社１階,ノギス/M3ネジ,良,
メカ,2024-10-07,2024-10-10,,EX000803,TF mini plus holder,（株）栗原精機,130,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,15,,本社１階,M3ネジ,良,
メカ,2024-10-07,2024-10-10,,EX000817,フランジカラー φ8.5 φ3.1　,（株）栗原精機,1400,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検80,45,,本社１階,ノギス,良外径6.23～6.26のため基準書確認,
メカ,2024-10-08,2024-10-11,,EX000747,Slide Rail,金森産業（株）,100,,外観,検査基準書 適用型式AC102,角田,外観全数,60,,本社１階,無し,良１点保留（レール面キズ、バリ処理のえぐれ）,
メカ,2024-10-08,2024-10-11,,EX000749,スライドポスト,金森産業（株）,1200,,外観,検査基準書 適用型式AC102,角田,外観全数,50,,本社１階,無し,良,
メカ,2024-10-08,2024-10-11,,EX000768,LED cover,金森産業（株）,300,,外観,検査基準書 適用型式AC102,角田,外観全数,60,,本社１階,無し,良,
メカ,2024-10-08,2024-10-11,,EX000779,Ball valve mount　,金森産業（株）,200,,外観,検査基準書 適用型式AC102,角田,外観全数,60,,本社１階,無し,良,
メカ,2024-10-08,2024-10-11,,EX000647,タンクキャップ(AC101)　,金森産業（株）,100,,外観,検査基準書 適用型式AC101P13,角田,外観全数,40,,本社１階,無し,良,
メカ,2024-10-08,2024-10-11,,EX000837,タンクキャップ(穴追加工)　,金森産業（株）,40,,外観,検査基準書 適用型式AC102,角田,外観全数,20,,本社１階,無し,良,
メカ,2024-10-08,2024-10-15,,EX002851-01,センサマウントA　100pcs(初回分),金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,外観全数,25,,本社１階,無し,良,
メカ,2024-10-08,2024-10-15,,EX002852-01,センサマウントB　100pcs(初回分),金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,外観全数,25,,本社１階,無し,良,
メカ,2024-10-11,2024-10-17,,EX000743-05,Arm fixed holder,北村化学,1200,,外観・寸法,検査基準書 適用型式AC102,西村角田,総検査数量なみ検査20,180,2,地階,ノギス,良,
